ID,Source,x,y,R,G,B,size
34443,1562168842092340352,203.53029011446,55.34840809962,69,94,211,3.963147995654859
11533,348684450322398976,25.16585933646,43.29748897229,69,140,253,3.9539672634513083
33032,1083720411714068352,124.46002045787,59.57114543016999,70,133,250,3.9520228103570503
8,3665501184671104,45.59389899409,4.35291423416,66,75,181,3.9457193108825646
75212,2451838022871837312,23.65784669926,-15.676374654620002,70,107,227,3.923749867972479
30416,103563657351014144,36.7800226524,27.01205883959,143,255,73,3.9237349498314718
75747,2694123759468340352,326.80820636149,2.68610756598,70,105,224,3.911352086802431
12680,383275940831929728,3.37777193842,41.03472004815,56,165,251,3.9069620350921745
41718,1901075056335332608,337.50772629854,32.57257698565,69,92,207,3.8986876308363083
59228,2064128301409598464,306.89258520738,38.44004410131,71,113,233,3.891993722778091
34499,1595903095782563072,230.02154135993,51.9585658943,71,120,240,3.8907077093728413
35696,1792362184167367168,320.99577195916,24.27421690479,59,160,253,3.890136380499116
26311,539047365205648128,11.4125564129,74.98796866670999,71,113,233,3.8836768979412657
78192,629607506553221888,150.70388365468,21.94923477831,62,56,145,3.8819351399785016
19619,244600281592631552,56.49705635101,45.68181626158,68,86,199,3.8809057859364717
28453,712988829111292672,133.14422878801,32.47422948872,69,138,252,3.878288475597782
34267,1435825026095907072,261.42222965816,60.04850388296,70,105,224,3.8772023005654583
163,69812945346809600,56.290682910440005,24.83905700412,68,84,195,3.862334548811315
82327,1808075236135604736,300.87508656395,16.03121591396,67,78,186,3.8619341857721485
93327,3095347406555949568,120.30777111064,4.87991999222,70,100,218,3.8568518294697203
62308,2084032554258818944,306.75991741942,49.38361485993,59,160,253,3.8526483618157537
81496,2954283191455209728,101.66251230764,-10.10735699262,69,92,207,3.8482177226427483
81377,1735906350890358144,311.95142440772,6.0081501709300005,70,100,218,3.843983079254796
27680,610549499710989440,134.39694251511003,15.58137728731,69,138,252,3.8408945477549805
8667,257475386655383552,70.35083089345001,48.30067878523,69,94,211,3.834744632255318
103,57111696260204800,55.57896969854,19.70019726094,70,100,218,3.829030635343039
1315,145391484855481344,67.00372585557,21.6197156716,65,150,255,3.8275165997529044
11332,587210372546203904,140.8730722166,7.7135733528,254,164,49,3.8186371382208844
5873,379242524156416384,5.73906269136,38.75429286669,250,186,57,3.816821203891343
81063,1561439694084279552,206.64842814289,54.43265768882,69,92,207,3.7999960871403795
39447,105599987245304192,30.91456196685,25.935532384770003,32,199,223,3.789166442506794
39640,106051542927008128,33.942746686940005,25.78264869992,44,183,240,3.783647582274612
89781,1893599923453399040,331.39462936573,28.96393666205,68,86,199,3.783273216036969
89912,1908368597999299840,338.9678338959,39.63430712685,63,62,156,3.7822305356721673
86767,172817599818083712,66.15632281288,33.95940085366,47,178,244,3.779291312007196
28769,358011366943014016,28.0391745508,50.79266351905,68,86,199,3.7747702907102196
29019,873009384892137344,111.13945685003,27.63792298993,55,168,250,3.757383413190272
80721,1384384649468452224,238.87732474792003,42.56626439483,67,78,186,3.74518659540543
43473,1953588728112369408,325.85707942173,38.28357213368,69,94,211,3.733978350678859
